Index,Date,Open,High,Low,Close
SENSEX,2023-09-25,66082.99,66225.63,65764.03,66023.69
SENSEX,2023-09-26,66071.63,66078.26,65865.63,65945.47
SENSEX,2023-09-27,65925.64,66172.27,65549.96,66118.69
SENSEX,2023-09-28,66406.01,66406.01,65423.39,65508.32
SENSEX,2023-09-29,65743.93,66151.65,65570.38,65828.41
SENSEX,2023-10-03,65813.42,65813.5,65344.59,65512.1
SENSEX,2023-10-04,65330.65,65332.52,64878.77,65226.04
SENSEX,2023-10-05,65598.26,65753.2,65443.34,65631.57
SENSEX,2023-10-06,65867.54,66095.81,65762.33,65995.63
SENSEX,2023-10-09,65560.07,65789.98,65434.61,65512.39
SENSEX,2023-10-10,65662.27,66180.17,65662.27,66079.36
SENSEX,2023-10-11,66376.42,66592.16,66299.79,66473.05
SENSEX,2023-10-12,66564.57,66577.6,66339.42,66408.39
SENSEX,2023-10-13,66034.21,66478.9,65895.41,66282.74
SENSEX,2023-10-16,66238.15,66342.75,66039.38,66166.93
SENSEX,2023-10-17,66558.15,66559.82,66309.18,66428.09
SENSEX,2023-10-18,66473.74,66475.27,65842.1,65877.02
SENSEX,2023-10-19,65484.61,65869.65,65343.5,65629.24
SENSEX,2023-10-20,65437.07,65555.14,65308.61,65397.62
SENSEX,2023-10-23,65419.02,65453.92,64502.68,64571.88
SENSEX,2023-10-25,64619.27,64787.08,63912.16,64049.06
SENSEX,2023-10-26,63774.16,63774.16,63092.98,63148.15
SENSEX,2023-10-27,63559.32,63913.13,63393.37,63782.8
SENSEX,2023-10-30,63885.56,64184.58,63431.45,64112.65
SENSEX,2023-10-31,64449.65,64452.32,63812.53,63874.93
SENSEX,2023-11-01,63829.87,63896.05,63550.46,63591.33
SENSEX,2023-11-02,64033.4,64202.64,63815.35,64080.9
SENSEX,2023-11-03,64444.9,64535.19,64275.39,64363.78
SENSEX,2023-11-06,64835.23,64992.54,64617.48,64958.69
SENSEX,2023-11-07,65021.29,65021.29,64638.1,64942.4
SENSEX,2023-11-08,65101.95,65124.0,64851.06,64975.61
SENSEX,2023-11-09,65025.32,65046.56,64768.76,64832.2
SENSEX,2023-11-10,64756.11,65014.06,64580.95,64904.68
